title,Country.Name,year,status,type,target
Fiscal Incentive Law for the Promotion of Renewable Electricity Generation,El Salvador,2007 (Dec 20th),In Force,"Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives",Multiple RE Sources>Power
Renewable Energy Road Map - Renewable energies in the 21st century: building a more sustainable future,European Commission,2007,In Force,Policy Support>Strategic planning,Multiple RE Sources
Action Plan for Renewable Energy Promotion in Mali,Mali,2007,In Force,"Policy Support, Policy Support>Strategic planning",Multiple RE Sources
India-Brazil-South Africa Declaration on Clean Energy,India,2007,In Force,Voluntary Approaches>Public Voluntary Schemes,Multiple RE Sources
White Paper: Delivering a Sustainable Energy Future for Ireland,Ireland,2007,In Force,Policy Support>Strategic planning,"Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
National Climate Change Program,China,2007,In Force,Policy Support>Strategic planning,Multiple RE Sources
Resolution on grid connections for small scale solar generators,Mexico,2007,In Force,Regulatory Instruments>Codes and standards,Solar>Solar photovoltaic
Livret de Developpement Durable: Preferential loans for energy saving measures,France,2007,In Force,"Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives","Solar, Bioenergy>Biomass for heat, Geothermal, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Hainan Province Plan for the Construction of Wind Farms,China,2007,In Force,Economic Instruments>Direct investment,Wind
Methane-to-Markets Partnership,European Commission,2007,In Force,"Voluntary Approaches, Information and Education>Information provision, Information and Education>Advice/Aid in Implementation","Bioenergy>Biomass for power, Bioenergy>Biomass for heat"
ecoENERGY for Aboriginal and Northern Communities (2011-2016),Canada,2007,Ended,Economic Instruments>Direct investment>Funds to sub-national governments,"Wind>Onshore, Bioenergy, Bioenergy>Biofuels for transport, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Hydropower, Solar, Solar Thermal"
US China MOU on Biomass Development,China,2007,In Force,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Research, Development and Deployment (RD&D)>Research programme >Technology development","Bioenergy>Biomass for power, Bioenergy>Biofuels for transport, Bioenergy>Biomass for heat"
Grants supporting solar energy - Brussels region,Belgium,2007,In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Solar Thermal, Solar, Solar>Solar photovoltaic"
Renewable and Alternative energy sources and Biofuels Act,Bulgaria,2007,Superseded,"Policy Support, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Wind>Onshore, Bioenergy>Biomass for power, Hydropower"
Austrian Climate Change Strategy,Austria,2007,In Force,Policy Support>Strategic planning,Multiple RE Sources
2007-2012 Special Programme for Biofuels,Senegal,2007,In Force,"Economic Instruments>Direct investment>Infrastructure investments, Policy Support>Institutional creation","Bioenergy>Biomass for power, Bioenergy, Bioenergy>Biofuels for transport"
Iceland Climate Change Strategy,Iceland,2007,In Force,Policy Support>Strategic planning,"Geothermal>Power, Geothermal>Heat"
Ontario Coal Phase-Out,Canada,2007,In Force,Regulatory Instruments>Other mandatory requirements,Multiple RE Sources
Environmental Transformation Fund (ETF),United Kingdom,2007,Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Samoa National Energy Policy,Samoa,2007,In Force,"Policy Support, Regulatory Instruments","Multiple RE Sources, Multiple RE Sources>All"
Targets for renewables: 2007-10 Government programme,Austria,2007,Ended,Policy Support>Strategic planning,Multiple RE Sources
"The National Policy on Environment, 2007",Zambia,2007,Ended,"Policy Support, Policy Support>Strategic planning","Hydropower, Multiple RE Sources, Solar, Bioenergy"
Combined Heat and Power (CHP) Deployment Programme,Ireland,2007,In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Multiple RE Sources>CHP, Bioenergy>Biomass for power"
European Council Action Plan (2007-2009) Energy Policy for Europe,European Commission,2007,In Force,Policy Support>Strategic planning,"Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Comprehensive Review of Japanese Energy Policy,Japan,2007,Superseded,Policy Support>Strategic planning,Multiple RE Sources>All
Victorian Renewable Energy Target,Australia,2007,Ended,"Economic Instruments>Market-based instruments>Green certificates, Policy Support>Strategic planning, Regulatory Instruments>Other mandatory requirements, Regulatory Instruments>Obligation schemes","Wind>Onshore, Bioenergy>Biomass for power, Geothermal>Power, Hydropower, Multiple RE Sources>Power, Ocean>Tidal, Ocean>Wave, Solar, Solar>Solar photovoltaic, Solar Thermal, Wind, Wind>Offshore"
Queensland Smart Energy Policy,Australia,2007,Ended,"Regulatory Instruments>Obligation schemes , Information and Education>Advice/Aid in Implementation, Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Loans, Policy Support>Strategic planning, Regulatory Instruments>Monitoring, Regulatory Instruments>Auditing, Regulatory Instruments>Other mandatory requirements, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support","Solar>Solar photovoltaic, Multiple RE Sources>Power"
Geothermal Business Activities (Government Regulation No. 59/2007; 70/2010),Indonesia,2007,In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Geothermal
Electricity Market Act 2007,Estonia,2007,In Force,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Regulatory Instruments>Other mandatory requirements","Wind, Bioenergy>Biomass for power, Hydropower, Multiple RE Sources>All"
New Zealand Energy Strategy (NZES),New Zealand,2007,In Force,Policy Support>Strategic planning,Multiple RE Sources
Innovation Fund for Solar Water Heating,New Zealand,2007,Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Solar Thermal
Energy Technologies Institute,United Kingdom,2007,In Force,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Policy Support, Policy Support>Institutional creation, Research, Development and Deployment (RD&D)","Wind>Offshore, Multiple RE Sources, Ocean>Other, Ocean>Tidal, Ocean>Wave"
Flanders: Ecological investment subsidy,Belgium,2007,In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Wind, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Geothermal, Geothermal>Heat, Geothermal>Power, Solar>Solar photovoltaic, Solar Thermal, Solar"
Grant for local authority land use planning for wind power,Sweden,2007,Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Wind>Onshore, Wind, Wind>Offshore"
White Paper on National Climate Policy,Norway,2007,Superseded,Policy Support>Strategic planning,Multiple RE Sources>All
Electricity Supply Act,Switzerland,2007,In Force,"Regulatory Instruments, Economic Instruments",Multiple RE Sources>All
Sustainable Energy Incubator Programme,Ireland,2007,In Force,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Grants and subsidies",Wind
California Solar Initiative,United States,2007,In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Solar Thermal, Solar>Solar photovoltaic"
Le Grenelle de L'environnement,France,2007,Ended,Policy Support>Strategic planning,"Multiple RE Sources>CHP, Multiple RE Sources>All"
An Energy Policy for Europe,European Commission,2007,In Force,Policy Support>Strategic planning,"Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Strategic Energy Technology Plan (SET-Plan): Towards a low carbon future,European Commission,2007,In Force,"Policy Support>Strategic planning, Policy Support>Institutional creation","Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Red Certificate System,Poland,2007,In Force,Economic Instruments>Market-based instruments,Multiple RE Sources>CHP
Environmental Protection Act,Croatia,2007,In Force,"Policy Support, Policy Support>Strategic planning",Multiple RE Sources
Subsidies for energy in tertiary sector buildings - Brussels region,Belgium,2007,In Force,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Information and Education>Advice/Aid in Implementation",Multiple RE Sources
Regulation on the Minimum Share of Electricity Produced from RES and Cogeneration Whose Production is Incentivised,Croatia,2007,In Force,"Policy Support, Regulatory Instruments>Other mandatory requirements, Regulatory Instruments",Multiple RE Sources
National Adaptation Programme of Action (NAPA),Mozambique,2007,In Force,"Policy Support, Information and Education",Multiple RE Sources
Ordinance on the Use of Renewable Energy Sources and Cogeneration,Croatia,2007,In Force,"Regulatory Instruments, Policy Support",Multiple RE Sources
Renewable and Energy Efficiency Portfolio Standard -- Illinois,United States,2007,In Force,"Regulatory Instruments>Codes and standards, Regulatory Instruments>Other mandatory requirements, Regulatory Instruments>Obligation schemes","Wind, Bioenergy, Hydropower, Multiple RE Sources>Power, Solar"
National Biogas Programme (NBP),Ethiopia,2007,In Force,"Regulatory Instruments, Regulatory Instruments>Auditing",Bioenergy
Ordinance on Acquiring the Status of Eligible Electricity Producer,Croatia,2007,In Force,"Regulatory Instruments>Codes and standards>Sectoral standards, Regulatory Instruments",Multiple RE Sources
National Energy Plan 2006-2025,Colombia,2007,Superseded,Policy Support,"Multiple RE Sources, Multiple RE Sources>All"
Geothermal Resource Leasing and Geothermal Resources Unit Agreements,United States,2007,Superseded,"Regulatory Instruments, Economic Instruments>Direct investment>Funds to sub-national governments, Policy Support, Economic Instruments>Direct investment>Infrastructure investments","Geothermal>Power, Geothermal, Geothermal>Heat"
Solar Power Subsidy,Uganda,2007,In Force,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives","Solar>Solar photovoltaic, Solar"
Community Renewable Energy Deployment Grants,United States,2007,Ended,"Economic Instruments>Direct investment, Economic Instruments>Direct investment>Funds to sub-national governments, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Grants and subsidies","Solar, Geothermal, Wind, Bioenergy, Ocean"
India-Brazil-South Africa Declaration on Clean Energy,South Africa,2007,In Force,"Voluntary Approaches>Public Voluntary Schemes, Voluntary Approaches",Multiple RE Sources
Package of Measures to Address Climate Change,Korea,2007,Superseded,"Economic Instruments>Market-based instruments>White certificates, Policy Support>Strategic planning",Multiple RE Sources>Power
Ordinance: rights and obligations of the electricity market participants,Slovakia,2007,In Force,Regulatory Instruments,Multiple RE Sources>Power
Solar America Cities,United States,2007,Ended,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Information and Education>Information provision, Economic Instruments>Direct investment>Funds to sub-national governments, Policy Support>Strategic planning, Regulatory Instruments",Solar
National Energy Efficiency and Renewable Energy Programme 2008-2011,Tunisia,2007,In Force,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support>Strategic planning","Wind, Bioenergy, Solar>Solar photovoltaic"
Strategy on Renewable Energy Sources 2007-2020,Hungary,2007,Superseded,Policy Support>Strategic planning,"Wind, Bioenergy>Biomass for power, Geothermal>Power, Solar>Solar photovoltaic, Multiple RE Sources"
